"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ptprz1",7.64858712516155e-10,0.401144681985538,0.364,0.031,1.24649024378758e-05
"Spag16",8.35798914141715e-10,0.639077192438625,0.455,0.05,1.36210149037675e-05
"BC049715",9.82366159974919e-10,0.493621186590213,0.364,0.032,1.60096213091113e-05
"Pklr",1.20401975915068e-09,0.673571906217791,0.545,0.072,1.96219100148787e-05
"Sult1d1",1.21304399480785e-09,1.22697552720404,0.545,0.076,1.97689779833835e-05
"1700016K19Rik",1.31543648791094e-09,1.0202489610271,0.636,0.102,2.14376684434846e-05
"Ulk4",1.69947632142386e-09,0.467908488297834,0.455,0.05,2.76963656102446e-05
"Pkd1",1.94585060845329e-09,0.469152190996313,0.455,0.05,3.17115273659632e-05
"Ccdc155",3.28607298806457e-09,0.708396217101703,0.455,0.053,5.35531314864883e-05
"Vill",3.36455932517948e-09,0.571623698591486,0.636,0.097,5.483222332245e-05
"Kcnk12",3.89125566257638e-09,0.462944371431451,0.455,0.052,6.34157935330072e-05
"Pih1h3b",4.33189759522379e-09,0.318803105619691,0.273,0.019,7.05969351093621e-05
"Plk4",6.44193058416589e-09,0.319443876245765,0.273,0.02,0.000104984142730151
"Rgs22",7.8552281602267e-09,0.417058091078614,0.273,0.02,0.000128016653327215
"Acsm1",8.37484062135786e-09,0.48793754808663,0.364,0.036,0.000136484777606269
"Kndc1",9.31091041549137e-09,1.05253632909052,0.636,0.116,0.000151739907041263
"Saxo2",1.0037522083465e-08,1.36303707678007,0.727,0.166,0.00016358149739423
"Muc5ac",1.16764296330571e-08,0.416418173108092,0.273,0.021,0.000190290773729931
"Tcte1",1.23292716297415e-08,0.542992917780643,0.455,0.056,0.000200930139749897
"Tbata",1.26071320847287e-08,0.804832249151755,0.364,0.037,0.000205458431584824
"Dnah12",1.29382207526226e-08,1.46278136793541,0.818,0.196,0.00021085418360549
"Klk13",1.31407316648179e-08,0.593156860141127,0.545,0.079,0.000214154503941537
"Drc7",1.3718266809463e-08,0.543609322421889,0.455,0.056,0.000223566594193819
"Rfc2",1.43384271100408e-08,0.395458554472446,0.364,0.036,0.000233673346612335
"Bub1b",1.44990662744472e-08,0.318162619464493,0.273,0.021,0.000236291283074666
"Fam161a",1.50535473835412e-08,1.42512708145298,0.727,0.158,0.000245327661709572
"Plch2",1.70783263542569e-08,0.541145282470408,0.455,0.057,0.000278325484595324
"Atp2c2",1.79775615431608e-08,0.888551112420482,0.727,0.158,0.000292980320468891
"Ccdc30",1.93300930608355e-08,1.42127034236553,0.727,0.152,0.000315022526612436
"Rsph1",2.12109254771299e-08,1.86263215425308,0.818,0.241,0.000345674452500786
"Traf3ip1",2.18301279902853e-08,0.996590315114061,0.818,0.194,0.000355765595857679
"Fam166b",2.38275469834081e-08,0.663945881909826,0.545,0.084,0.000388317533188602
"Fam92b",2.42451934052352e-08,0.39168021523501,0.364,0.037,0.000395123916925118
"Calml4",2.56159346679116e-08,0.740947702299263,0.545,0.085,0.000417462887282955
"Dynlrb2",2.87500594715642e-08,1.04971679596569,0.545,0.087,0.000468539719208082
"Unc79",3.162288688584e-08,0.315603514508085,0.273,0.022,0.000515358187578535
"Syt5",3.66425636794085e-08,0.454913935141102,0.455,0.058,0.00059716386028332
"Btbd8",3.72592857606433e-08,0.454298056779181,0.455,0.058,0.000607214580041204
"1700003E16Rik",4.03682503864683e-08,0.931806197719404,0.545,0.089,0.000657881376548274
"Spata33",4.11044338082712e-08,0.570366995514732,0.364,0.04,0.000669878957773396
"Cep131",4.25635445447227e-08,0.713204074339837,0.727,0.149,0.000693658085445346
"Tex26",4.35295026016131e-08,0.922887798985601,0.545,0.095,0.000709400303898489
"Pcyt1b",4.36102183751468e-08,0.316242865301127,0.273,0.022,0.000710715728859768
"Odf3b",4.46038778521456e-08,1.39726124749831,0.727,0.178,0.000726909397356416
"Ccl20",4.7604442188369e-08,0.533778313062195,0.455,0.06,0.00077580959434385
"Slc44a4",5.10800145121597e-08,0.800561664441152,0.545,0.09,0.000832450996504667
"Meig1",5.33176275632043e-08,1.03100584293853,0.727,0.168,0.000868917376397541
"Trp73",5.85812512881015e-08,0.87164869137111,0.636,0.125,0.000954698652242189
"Ttll6",6.08781590375593e-08,0.481021149810579,0.364,0.04,0.000992131357835104
"Agrp",6.21846733140863e-08,0.31496444692692,0.273,0.023,0.00101342362099966
"Prom1",6.25939624370206e-08,1.03549709933765,0.545,0.097,0.00102009380583612
"4430402I18Rik",6.32496930110178e-08,0.620533299072432,0.455,0.061,0.00103078024700056
"Spag1",6.358360738685e-08,0.710400001463134,0.727,0.152,0.00103622204958349
"1700088E04Rik",6.38744886271123e-08,0.541658277192198,0.636,0.111,0.00104096254115605
"Chad",6.39269779071203e-08,0.930191847418698,0.636,0.126,0.00104181795895234
"1700007K13Rik",6.80866878179657e-08,1.51651639682465,0.727,0.193,0.00110960875136939
"4833427G06Rik",7.48665067920622e-08,0.536843313239635,0.455,0.062,0.00122009946119024
"Tmem158",9.77993206916703e-08,0.727788701078333,0.545,0.091,0.00159383552931215
"Tctex1d4",9.83764014872946e-08,1.48644556783622,0.727,0.184,0.00160324021503844
"Dnah10",1.02311659255857e-07,1.50256778636866,0.818,0.255,0.0016673731108927
"Ttc34",1.03162622277867e-07,0.567856868668567,0.364,0.041,0.00168124125526239
"Clic6",1.14113833545526e-07,2.08923247248213,0.909,0.353,0.00185971314529144
"Cfap65",1.27686947228545e-07,1.75385029552218,0.818,0.293,0.0020809141789836
"Nme5",1.29261001328797e-07,1.41962060514644,0.818,0.246,0.00210656653865541
"Tekt4",1.4258975425368e-07,0.783958332341687,0.545,0.098,0.00232378522507222
"Rsph14",1.65753633415691e-07,0.612571047687472,0.455,0.066,0.00270128696377552
"Cfap73",1.67282456229986e-07,0.612571047687472,0.455,0.066,0.00272620218918008
"Cfap45",1.69167060140696e-07,1.29729927953847,0.727,0.179,0.00275691557911292
"Cfap77",1.71387685809605e-07,1.02413590328899,0.636,0.138,0.00279310511563913
"Enkur",1.75010711178311e-07,0.896590966797606,0.455,0.07,0.00285214956007294
"Tmc5",1.82808155577624e-07,0.563474628247174,0.364,0.043,0.00297922451144854
"Slc16a11",1.86624259579292e-07,1.14859340855911,0.909,0.329,0.00304141555836373
"Phtf1",2.05952147471274e-07,0.386657773118605,0.364,0.042,0.00335640214733936
"Capsl",2.09306392641086e-07,1.17606357381195,0.636,0.147,0.00341106628087178
"Ccdc78",2.22301415636327e-07,1.42014058894766,0.727,0.204,0.00362284617062522
"Foxj1",2.29640833471327e-07,1.32151051969659,0.818,0.224,0.00374245666308221
"Gm867",2.36094433113142e-07,0.963690675220691,0.545,0.105,0.00384763097644487
"Lrrc74b",2.44741762570764e-07,0.689962895112056,0.455,0.068,0.00398855650461573
"Tspan1",2.68988769565042e-07,0.976603410284083,0.545,0.099,0.00438370997760149
"Cxxc4",2.81441540945667e-07,0.3124110037101,0.273,0.025,0.00458665279279154
"Riiad1",2.85346465879111e-07,0.311773348433028,0.273,0.025,0.00465029135443188
"Mmab",3.01712626801287e-07,0.49332344744131,0.545,0.091,0.00491701067898058
"Ubxn10",3.09959765759971e-07,1.68003431082109,0.727,0.198,0.00505141430259024
"Lrrc36",3.39841837002699e-07,0.71356900445029,0.545,0.097,0.00553840241763299
"Plxna3",3.51486919335393e-07,0.44264604624516,0.455,0.066,0.00572818232440891
"Bbof1",3.66428504404141e-07,0.473513613141638,0.364,0.044,0.00597168533627429
"Rassf10",3.7029441199846e-07,0.311773348433028,0.273,0.025,0.00603468803233891
