"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gstt2",8.08286514039979e-06,-0.258182945653212,0.168,0.377,0.114324044545815
"Blnk",8.10977866106583e-06,-0.347309832298282,0.176,0.369,0.114704709382115
"Gbp2b",8.28557526565467e-06,-0.406825790183432,0.992,0.993,0.11719117655742
"Ncf1",8.29666500903505e-06,-0.338864945268398,0.595,0.796,0.117348029887792
"Cldn18",8.46090837655741e-06,-0.314406079983769,0.992,0.969,0.119671088078028
"Ikzf1",8.63827444883255e-06,-0.315657079092463,0.191,0.378,0.122179753804288
"Tmem173",9.8347116307057e-06,-0.272963704704308,0.153,0.353,0.139102161304701
"Fhl1",1.03599206604192e-05,0.340528439099929,0.664,0.501,0.146530717820969
"Isoc1",1.09358982177461e-05,-0.293813405957472,0.191,0.38,0.154677344391801
"Psme2b",1.1058719385693e-05,-0.318010184481242,0.298,0.503,0.156414526991242
"Ptpn22",1.1454089458282e-05,-0.288779971733978,0.137,0.32,0.16200664129794
"Igtp",1.16961336464083e-05,-0.34968650541738,0.832,0.893,0.165430114294799
"Fxyd1",1.2215758857795e-05,0.418155306538601,0.466,0.316,0.172779693284652
"Tmem62",1.23191509001784e-05,-0.256182154470906,0.122,0.306,0.174242070332123
"Col3a1",1.2367867958033e-05,0.396782202165648,0.992,0.959,0.174931124398419
"Runx3",1.31641678094644e-05,-0.32138998073459,0.298,0.516,0.186193989497064
"Ssh2",1.33416695660772e-05,-0.277263842137933,0.168,0.356,0.188704574342595
"Smpd1",1.35852749259082e-05,-0.289808790742286,0.473,0.666,0.192150128552046
"Tnfrsf9",1.40689279228337e-05,-0.258536634069028,0.084,0.252,0.19899091654056
"Cd44",1.50614591887012e-05,-0.280952414840055,1,0.995,0.21302927876499
"Eif3f",1.62372276356694e-05,-0.303736053499124,0.359,0.575,0.229659347678909
"Pabpc1",1.73338170152403e-05,-0.27788448961616,0.198,0.395,0.245169507863558
"Bak1",1.79122555249685e-05,-0.292114061728328,0.275,0.491,0.253350942145154
"Lsm7",1.80359480679378e-05,-0.257009568521966,0.13,0.309,0.255100449472913
"Abca1",1.88412195478215e-05,-0.31349693378033,0.237,0.43,0.266490209284387
"Socs3",1.93740903221305e-05,-0.321802238214432,0.321,0.526,0.274027133516214
"Tmem30a",2.02806563956701e-05,-0.29254016430727,0.282,0.482,0.286849604060358
"Tm4sf1",2.03668633086438e-05,0.376026109546715,0.756,0.651,0.288068914637458
"Creg1",2.04019693730609e-05,-0.30474457856004,0.466,0.674,0.288565454812573
"Lcn2",2.08782487632709e-05,-0.459140342101039,0.756,0.855,0.295301950507704
"Spata13",2.09561166607774e-05,-0.284435497540188,0.214,0.409,0.296403314050036
"Ighd",2.10401265214873e-05,-0.376295341285363,0.145,0.325,0.297591549519916
"Col1a1",2.1366405972641e-05,0.344790422500037,0.824,0.743,0.302206446077035
"Gas6",2.14133500697752e-05,0.299284932103155,0.809,0.704,0.3028704233869
"Myl9",2.16061452665277e-05,0.33306647200261,0.321,0.179,0.305597318649767
"Pin4",2.3263162376371e-05,-0.267400519190876,0.176,0.358,0.329034168651392
"Fgfr3",2.3274157028924e-05,0.258271833330347,0.557,0.371,0.329189677017101
"Ppfia1",2.38304040822135e-05,-0.253039898457181,0.107,0.275,0.337057235338828
"H2-M2",2.44448004954076e-05,-0.322517854649082,0.198,0.382,0.345747258207045
"Cavin1",2.45908378895732e-05,0.320803293889307,0.634,0.501,0.347812811110123
"Slc7a2",2.49520263212458e-05,-0.394333145473596,0.344,0.534,0.3529214602877
"Parp11",2.51095628466558e-05,-0.270377456552693,0.221,0.422,0.355149656903099
"F10",2.53360694512045e-05,-0.265400590852991,0.137,0.317,0.358353366317836
"Slc7a11",2.56434427469259e-05,-0.26789678600128,0.107,0.277,0.36270085421252
"Lsm6",2.61222867651709e-05,-0.283805016720619,0.267,0.475,0.369473624006577
"Mal",2.71193840745502e-05,-0.265400590852991,0.153,0.331,0.383576568350438
"Def6",2.74687232902717e-05,-0.256862650078212,0.137,0.318,0.388517622217604
"Tmcc2",2.79397831805692e-05,0.372640147356684,0.702,0.554,0.39518029330597
"Slpi",2.84176506480139e-05,-0.466988905989312,0.962,0.97,0.401939250765509
"Sh3kbp1",2.98150126511086e-05,-0.318509665372077,0.29,0.478,0.42170353893728
"Snrpf",3.23396200366817e-05,-0.286694595043663,0.214,0.397,0.457411585798825
"Nsmce4a",3.27678429701896e-05,-0.291005494799127,0.313,0.518,0.463468370970362
"Hist1h1c",3.41844165889196e-05,-0.324806978959266,0.802,0.884,0.483504388233679
"Tnfrsf13c",3.47253023705409e-05,-0.416069633201406,0.13,0.29,0.491154676728931
"Trp53",3.50006602528739e-05,-0.279225358471219,0.229,0.422,0.495049338616648
"Clec4d",3.77967758770297e-05,-0.281352730205812,0.13,0.296,0.534597598004708
"Adap1",3.95431198371968e-05,-0.253192044095812,0.168,0.347,0.559297886977312
"Bst2",4.04226754818558e-05,-0.288180854638484,0.985,0.984,0.571738322015369
"Src",4.17307215733712e-05,-0.281040532883417,0.344,0.564,0.590239325933762
"Dera",4.29251626826858e-05,-0.276282082970486,0.244,0.426,0.607133500983908
"Dnajb1",4.660303110132e-05,-0.251642243613781,0.42,0.624,0.659153271897069
"Lcp1",4.66444826602942e-05,-0.306121157436694,0.321,0.536,0.659739562747201
"Il18bp",4.74975844157642e-05,-0.336157531191502,0.527,0.696,0.671805833976568
"Hist1h1d",4.85039451336385e-05,-0.349565574175896,0.695,0.811,0.686039799970183
"Bgn",4.96603875232247e-05,0.298465378805186,0.863,0.779,0.702396521128491
"Sf1",5.04829791073252e-05,-0.273294939934988,0.305,0.499,0.714031256494007
"Mindy4",5.16324812744157e-05,0.299057968358348,0.405,0.265,0.730289815145336
"Ccr7",5.36197369027353e-05,-0.268372010964805,0.13,0.299,0.758397558752288
"Gbp3",5.48221843091706e-05,-0.302205267474821,0.916,0.933,0.775404974868908
"Ptges",5.62812557390081e-05,-0.276727025372339,0.168,0.34,0.79604208117253
"Asb13",5.70251916802727e-05,-0.259773861132446,0.206,0.383,0.806564311125777
"Arid5a",5.74011487926618e-05,-0.274033997410363,0.252,0.438,0.811881848523409
"Cyp4b1",5.74434436566156e-05,0.323795841380157,0.817,0.686,0.812480067079171
"Nfkbia",5.75342059732749e-05,-0.275372696551541,0.992,0.979,0.813763809286
"Kcnj2",5.77855964700945e-05,-0.303565713450412,0.214,0.381,0.817319476473016
"Pbx1",6.65239885249148e-05,0.30933191182489,0.748,0.653,0.940915293696395
"Apoc1",6.6635281583898e-05,-0.438248319254711,0.786,0.826,0.942489422722653
"Atp5o",7.07104634834649e-05,-0.252732131344608,0.313,0.529,1
"Lgals3bp",7.12599473266634e-05,-0.303760902488349,0.908,0.907,1
"Apbb1ip",7.15654173937121e-05,-0.268288195278619,0.565,0.756,1
"Twf2",7.20345821203238e-05,-0.253837993217122,0.145,0.307,1
"Ubap2l",7.69549982894114e-05,-0.260994267314704,0.382,0.584,1
"Dram1",7.85212177557601e-05,-0.268539952550158,0.969,0.975,1
"Gimap6",7.86850895028099e-05,-0.311211174061271,0.366,0.568,1
"Heg1",8.02796056593296e-05,0.332886990674056,0.611,0.519,1
"Gpc3",8.22972000034965e-05,0.264981117032153,0.366,0.219,1
"Hnrnpa1",8.39577315109819e-05,-0.25049236506816,0.198,0.382,1
"Tacstd2",8.66589339494493e-05,-0.298705191230682,0.588,0.736,1
"Dgkz",8.77093773855532e-05,-0.25338557461709,0.374,0.59,1
"Rogdi",8.90445611820378e-05,-0.302397125290826,0.427,0.613,1
"Trbc2",9.17419399945182e-05,-0.355035541397191,0.603,0.758,1
"Ssr2",9.3579919193312e-05,-0.256240591567515,0.176,0.339,1
"Rasl11a",9.89953844628883e-05,-0.256276754322806,0.244,0.429,1
"Plekhn1",9.93203182729689e-05,-0.257978855194541,0.168,0.324,1
"Itgb6",0.000101560113614025,-0.250997067478843,0.16,0.329,1
