"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hist1h1c",0.000537367558982381,0.288392604152571,0.914,0.876,1
"Snx25",0.000558851874411803,-0.34934875189425,0.516,0.626,1
"Nfkbib",0.00055886502845496,0.266906417349723,0.753,0.587,1
"Psma7",0.000572152252254177,0.263654068129668,0.871,0.811,1
"Mif4gd",0.000579297348050403,0.253192789358251,0.882,0.706,1
"Setx",0.000617798398604645,0.258373028463931,0.591,0.394,1
"Nkx2-1",0.000645301157370755,-0.264886249616833,0.753,0.867,1
"Nenf",0.000652501052574522,-0.314883971604947,0.645,0.765,1
"Ccny",0.000656927698900544,-0.302445975272494,0.656,0.741,1
"Rgs12",0.000681520217617332,-0.395293563980429,0.484,0.587,1
"Ccdc85b",0.000777645519360679,-0.334366822848945,0.581,0.707,1
"Pdpn",0.000784332496723632,-0.279270933465954,0.742,0.907,1
"Dpysl2",0.000844018665162907,-0.33413335816021,0.645,0.785,1
"Cdk19",0.000856567738300704,-0.35387222665063,0.602,0.678,1
"Cfp",0.000859726579068928,0.270436847047133,0.849,0.674,1
"Emp3",0.000868250397614655,0.258137505642269,0.785,0.639,1
"Cd36",0.000877398020606116,-0.350588791552002,0.452,0.575,1
"Satb1",0.000881412894442563,0.287177057111309,0.516,0.357,1
"Myo1f",0.000897484545890821,0.251672618018906,0.935,0.872,1
"Pxdc1",0.000946033370463248,-0.398352141557317,0.484,0.582,1
"Ankrd33b",0.000947037704980891,-0.426154513347217,0.344,0.467,1
"Krt80",0.000993393968568476,-0.449172307940001,0.323,0.442,1
"Gja1",0.00108935171515926,-0.330609990532908,0.548,0.639,1
"Foxf1",0.00109615810950216,-0.351398666524649,0.194,0.34,1
"Prdx6",0.00110794183447175,-0.309062209864542,0.645,0.78,1
"C130074G19Rik",0.00114972348599978,-0.353013990432049,0.323,0.469,1
"Ighj1",0.00114979364479151,0.41871542282171,1,0.982,1
"Cxcl10",0.00117470489956024,0.332426524688505,0.774,0.633,1
"B4galnt1",0.00120905413641689,0.260552326523178,0.849,0.683,1
"Rnf144a",0.00124350770245988,-0.445000315011567,0.355,0.461,1
"Sema3c",0.00124927387105105,-0.419855682805145,0.215,0.35,1
"Mzb1",0.00127159167505231,0.298667039516963,0.763,0.595,1
"Gpr146",0.00129539252162016,-0.329176603803925,0.462,0.583,1
"Scarf2",0.00137544153563718,-0.348360094928444,0.559,0.653,1
"Ramp2",0.00144982640434502,-0.398149948543241,0.323,0.448,1
"Reg3g",0.00147207185968447,0.386683968225952,0.269,0.153,1
"Ubl3",0.00157184773836731,-0.299442704244058,0.72,0.782,1
"Efnb2",0.00159707038701181,-0.399598548536704,0.333,0.451,1
"H2-Aa",0.00171751088649331,0.259274994758323,0.806,0.755,1
"Cxcl15",0.0017279015935491,-0.254897995064535,0.935,0.982,1
"Ogn",0.00173023669209333,-0.301719365492536,0.151,0.295,1
"Nans",0.00174383696507633,0.263899787994838,0.656,0.503,1
"Stmn2",0.00178586776482333,-0.326069488455997,0.172,0.312,1
"Sema3g",0.0018154483748819,-0.373092575031077,0.226,0.359,1
"Dnmt3a",0.00183287120513114,0.25849529593643,0.763,0.593,1
"Rasa4",0.00184853883955441,0.27025189799991,0.634,0.477,1
"Trim16",0.0018637085575268,-0.330008761240983,0.247,0.382,1
"S100a6",0.00191806309540126,-0.269982509060266,0.957,0.962,1
"Pld4",0.00193235721385557,0.261361006834503,0.817,0.679,1
"Mxra8",0.00194812315236664,-0.325819829645807,0.462,0.559,1
"Dennd3",0.00195794841905884,-0.274101301476123,0.677,0.752,1
"Fgd5",0.00216021667172209,-0.320607314242099,0.409,0.522,1
"Prx",0.00224387500098159,-0.403545156142655,0.247,0.371,1
"Emc1",0.00231017035022398,-0.261166397259177,0.699,0.761,1
"Adgre5",0.00232375235274806,-0.339135516137271,0.86,0.913,1
"Cdo1",0.0023756676217873,-0.382277750802194,0.323,0.426,1
"Ptgfrn",0.00241586305423541,-0.341819037581557,0.43,0.537,1
"Tnfrsf14",0.00246367300277544,0.255333457708577,0.828,0.727,1
"Dennd6a",0.00247825437430515,-0.285465451973121,0.667,0.743,1
"Ak2",0.00248305936455193,0.277530965270289,0.763,0.597,1
"Magi3",0.00262737633074851,-0.261548798868508,0.57,0.698,1
"Capn2",0.00282899188327811,-0.253272794614305,0.71,0.799,1
"Acvrl1",0.00319493165851203,-0.302385204048706,0.204,0.333,1
"Gas6",0.00321485883055798,-0.303988043320093,0.656,0.714,1
"Tmem204",0.00326760353435939,-0.344115524842239,0.398,0.503,1
"Lpcat1",0.00338451152707406,-0.266228884204998,0.677,0.739,1
"Ptgis",0.00340478209747281,-0.427120228504629,0.419,0.495,1
"Clec3b",0.00355097606327533,-0.394336686917169,0.624,0.717,1
"Kdr",0.00355619063270326,-0.355922966215392,0.441,0.532,1
"Fam174b",0.00357555099300275,-0.257607685444493,0.849,0.912,1
"Pllp",0.0037111252459233,-0.275613376800939,0.129,0.255,1
"Icam2",0.00377701250423135,-0.394703489501775,0.387,0.48,1
"Neurl3",0.00395251361629627,0.261366172775914,0.591,0.44,1
"C1qc",0.00403910305490843,0.271365866908891,0.914,0.81,1
"Ptp4a3",0.00412675636710137,-0.26109597146265,0.817,0.907,1
"Iglc1",0.00423220272745348,0.355392766635576,0.581,0.442,1
"Tm4sf1",0.0044752752608656,-0.375853375379496,0.624,0.66,1
"Ushbp1",0.00460134612792726,-0.292527636183593,0.247,0.375,1
"Atp1b1",0.00479546513834062,-0.26165035963973,0.86,0.893,1
"Itga3",0.00558894635131385,-0.296119249431271,0.57,0.651,1
"Eva1b",0.00586294353615963,-0.277788015776996,0.624,0.691,1
"Lims2",0.00615804553813852,-0.269305036065314,0.172,0.294,1
"Arhgap31",0.00660128007387009,-0.322679138477062,0.355,0.458,1
"BC028528",0.0066077553079416,-0.329564869116741,0.484,0.564,1
"Notch4",0.00696498797675968,-0.353564045633593,0.452,0.506,1
"Pfkp",0.00708725631584293,0.265901085266456,0.774,0.703,1
"Zfhx3",0.00778915862378735,-0.295871991086167,0.484,0.544,1
"Fgf1",0.00793594508744325,-0.314923411053852,0.462,0.535,1
"Nes",0.00819672894653025,-0.284183905992226,0.226,0.339,1
"Gzma",0.00826130781228156,-0.356542694358853,0.419,0.493,1
"Car2",0.00828536285743613,-0.25441644515364,0.591,0.683,1
"Ptprb",0.0084374031425339,-0.321621664734761,0.29,0.397,1
"Fgfr2",0.00935291555928365,-0.277476803996242,0.452,0.526,1
"Ripor1",0.0103873723402898,-0.29487200582239,0.452,0.528,1
"Ccn2",0.0108755040322235,-0.382417860569247,0.473,0.512,1
"Spns2",0.0109347505990017,-0.263560008634452,0.333,0.441,1
"Lgi3",0.0110652529886498,-0.284132673014331,0.495,0.563,1
"Pmp22",0.0117774004186056,-0.278766395914855,0.269,0.369,1
"Glo1",0.0138311767139577,-0.28734981731863,0.57,0.591,1
"Rassf8",0.0148016855543393,-0.290218799829796,0.419,0.495,1
