"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wwtr1",0.000194566047088341,-0.299452332063438,0.432,0.512,1
"Usp33",0.000227413386299032,-0.254814585785936,0.552,0.607,1
"Tspan9",0.000234557686243978,-0.256973286203159,0.255,0.368,1
"Gng11",0.000249282206507446,-0.298719515462368,0.339,0.435,1
"Il1rn",0.000290393543652305,-0.422845446883191,0.635,0.752,1
"Myo1d",0.000301055214352067,-0.252788799651325,0.26,0.373,1
"Sh3bgrl",0.000307744743193286,-0.25060912012363,0.677,0.715,1
"Rras",0.00033454000456859,-0.282921339745119,0.391,0.476,1
"Fgd5",0.000335617360790031,-0.302281756297435,0.458,0.523,1
"Cmklr1",0.000360155344563196,-0.269161368693631,0.495,0.568,1
"Acvrl1",0.000397536641079697,-0.279705437661072,0.234,0.337,1
"Dync1li2",0.00042652678580179,-0.250316762839059,0.401,0.493,1
"Lims2",0.000470491470987491,-0.277840085235317,0.198,0.299,1
"Itpripl2",0.000471696365486985,-0.262120729399906,0.391,0.483,1
"Bmp6",0.000540630055949074,-0.272904979072257,0.167,0.268,1
"Ankrd40",0.000546041961547137,-0.286139766096586,0.422,0.492,1
"Sox13",0.000588021071206137,-0.250078750729881,0.198,0.301,1
"Plin2",0.000701058030306739,-0.263128530449119,0.328,0.417,1
"Rab31",0.000752671352398544,-0.261715916320909,0.464,0.538,1
"Arap3",0.000758995582439807,-0.269678313783506,0.297,0.388,1
"Utrn",0.000773522945651719,-0.253914211106421,0.339,0.43,1
"Ogn",0.000925047628701261,-0.276676391185569,0.203,0.297,1
"Krt8",0.00105981969566412,-0.253647168677079,0.365,0.458,1
"Itga6",0.00109526939519796,-0.257740106164281,0.323,0.414,1
"Cd9",0.00145817758822126,-0.252270637111249,0.339,0.422,1
"Vat1",0.00358883320965869,-0.254416905126621,0.505,0.528,1
"Ifitm1",0.0040257590590035,0.305730624566606,0.76,0.708,1
"Cyp2f2",0.00487980013760495,-0.617509108699482,0.776,0.903,1
"Meis1",0.00577200938250328,-0.254543350943417,0.297,0.36,1
"Grk5",0.00738036511769928,-0.253600746980264,0.438,0.473,1
"Npdc1",0.00822951978228575,-0.250540857981959,0.464,0.498,1
"Adgrg1",0.0170396552500289,-0.250130572603156,0.427,0.45,1
"Jchain",0.0298915879290245,0.580695187246144,0.906,0.978,1
